Published Odometry - x: 0, y: 0, Linear Velocity: 0, Angular Velocity: 0
Published Odometry - x: 0, y: 0, Linear Velocity: 0, Angular Velocity: 0
Published Odometry - x: 0, y: 0, Linear Velocity: 0, Angular Velocity: 0
Published Odometry - x: 0, y: 0, Linear Velocity: 0, Angular Velocity: 0
Published Odometry - x: 0, y: 0, Linear Velocity: 0, Angular Velocity: 0
Published Odometry - x: 0, y: 0, Linear Velocity: 0, Angular Velocity: 0
Published Odometry - x: 0, y: 0, Linear Velocity: 0, Angular Velocity: 0
Published Odometry - x: 0, y: 0, Linear Velocity: 0, Angular Velocity: 0
Published Odometry - x: 0, y: 0, Linear Velocity: 0, Angular Velocity: 0
Published Odometry - x: 0, y: 0, Linear Velocity: 0, Angular Velocity: 0
Published Odometry - x: 4.47644e-06, y: 0, Linear Velocity: 4.47644e-05, Angular Velocity: 0
Published Odometry - x: 8.27009e-06, y: 0, Linear Velocity: 3.79365e-05, Angular Velocity: 0
Published Odometry - x: 1.18877e-05, y: 0, Linear Velocity: 3.61765e-05, Angular Velocity: 0
Published Odometry - x: 1.53645e-05, y: 0, Linear Velocity: 3.47676e-05, Angular Velocity: 0
Published Odometry - x: 1.87366e-05, y: 0, Linear Velocity: 3.37209e-05, Angular Velocity: 0
Published Odometry - x: 2.20388e-05, y: 0, Linear Velocity: 3.3022e-05, Angular Velocity: 0
Published Odometry - x: 2.53048e-05, y: 0, Linear Velocity: 3.26598e-05, Angular Velocity: 0
Published Odometry - x: 2.85674e-05, y: 0, Linear Velocity: 3.26266e-05, Angular Velocity: 0
Published Odometry - x: 3.18593e-05, y: 0, Linear Velocity: 3.29184e-05, Angular Velocity: 0
Published Odometry - x: 3.52127e-05, y: 0, Linear Velocity: 3.35342e-05, Angular Velocity: 0
Published Odometry - x: 3.86603e-05, y: 0, Linear Velocity: 3.44763e-05, Angular Velocity: 0
Published Odometry - x: 4.22354e-05, y: 0, Linear Velocity: 3.57508e-05, Angular Velocity: 0
Published Odometry - x: 4.59721e-05, y: 0, Linear Velocity: 3.73668e-05, Angular Velocity: 0
Published Odometry - x: 4.99058e-05, y: 0, Linear Velocity: 3.93373e-05, Angular Velocity: 0
Published Odometry - x: 5.40737e-05, y: 0, Linear Velocity: 4.16787e-05, Angular Velocity: 0
Published Odometry - x: 5.85148e-05, y: 0, Linear Velocity: 4.44111e-05, Angular Velocity: 0
Published Odometry - x: 6.32707e-05, y: 0, Linear Velocity: 4.75587e-05, Angular Velocity: 0
Published Odometry - x: 6.83856e-05, y: 0, Linear Velocity: 5.11497e-05, Angular Velocity: 0
Published Odometry - x: 7.39073e-05, y: 0, Linear Velocity: 5.52164e-05, Angular Velocity: 0
Published Odometry - x: 7.98869e-05, y: 0, Linear Velocity: 5.97959e-05, Angular Velocity: 0
Published Odometry - x: 8.63799e-05, y: 0, Linear Velocity: 6.49301e-05, Angular Velocity: 0
Published Odometry - x: 9.34465e-05, y: 0, Linear Velocity: 7.06662e-05, Angular Velocity: 0
Published Odometry - x: 0.000101152, y: 0, Linear Velocity: 7.70568e-05, Angular Velocity: 0
Published Odometry - x: 0.000109568, y: 0, Linear Velocity: 8.4161e-05, Angular Velocity: 0
Published Odometry - x: 0.000118773, y: 0, Linear Velocity: 9.20442e-05, Angular Velocity: 0
Published Odometry - x: 0.000128851, y: 0, Linear Velocity: 0.000100779, Angular Velocity: 0
Published Odometry - x: 0.000139895, y: 0, Linear Velocity: 0.000110447, Angular Velocity: 0
Published Odometry - x: 0.000152009, y: 0, Linear Velocity: 0.000121137, Angular Velocity: 0
Published Odometry - x: 0.000165304, y: 0, Linear Velocity: 0.000132947, Angular Velocity: 0
Published Odometry - x: 0.000179902, y: 0, Linear Velocity: 0.000145987, Angular Velocity: 0
Published Odometry - x: 0.00019594, y: 0, Linear Velocity: 0.000160378, Angular Velocity: 0
Published Odometry - x: 0.000213565, y: 0, Linear Velocity: 0.000176253, Angular Velocity: 0
Published Odometry - x: 0.000232941, y: 0, Linear Velocity: 0.000193758, Angular Velocity: 0
Published Odometry - x: 0.000254247, y: 0, Linear Velocity: 0.000213055, Angular Velocity: 0
Published Odometry - x: 0.000277679, y: 0, Linear Velocity: 0.000234323, Angular Velocity: 0
Published Odometry - x: 0.000303455, y: 0, Linear Velocity: 0.000257759, Angular Velocity: 0
Published Odometry - x: 0.000331813, y: 0, Linear Velocity: 0.00028358, Angular Velocity: 0
Published Odometry - x: 0.000363015, y: 0, Linear Velocity: 0.000312024, Angular Velocity: 0
Published Odometry - x: 0.000397351, y: 0, Linear Velocity: 0.000343354, Angular Velocity: 0
Published Odometry - x: 0.000435137, y: 0, Linear Velocity: 0.00037786, Angular Velocity: 0
Published Odometry - x: 0.000476723, y: 0, Linear Velocity: 0.000415862, Angular Velocity: 0
Published Odometry - x: 0.000522494, y: 0, Linear Velocity: 0.000457711, Angular Velocity: 0
Published Odometry - x: 0.000572874, y: 0, Linear Velocity: 0.000503794, Angular Velocity: 0
Published Odometry - x: 0.000628327, y: 0, Linear Velocity: 0.000554538, Angular Velocity: 0
Published Odometry - x: 0.000689368, y: 0, Linear Velocity: 0.000610411, Angular Velocity: 0
Published Odometry - x: 0.000756562, y: 0, Linear Velocity: 0.000671931, Angular Velocity: 0
Published Odometry - x: 0.000830528, y: 0, Linear Velocity: 0.000739667, Angular Velocity: 0
Published Odometry - x: 0.000911953, y: 0, Linear Velocity: 0.000814245, Angular Velocity: 0
Published Odometry - x: 0.00100159, y: 0, Linear Velocity: 0.000896355, Angular Velocity: 0
Published Odometry - x: 0.00110026, y: 0, Linear Velocity: 0.000986758, Angular Velocity: 0
Published Odometry - x: 0.00120889, y: 0, Linear Velocity: 0.00108629, Angular Velocity: 0
Published Odometry - x: 0.00132848, y: 0, Linear Velocity: 0.00119587, Angular Velocity: 0
Published Odometry - x: 0.00146013, y: 0, Linear Velocity: 0.00131651, Angular Velocity: 0
Published Odometry - x: 0.00160506, y: 0, Linear Velocity: 0.00144933, Angular Velocity: 0
Published Odometry - x: 0.00176462, y: 0, Linear Velocity: 0.00159556, Angular Velocity: 0
Published Odometry - x: 0.00194027, y: 0, Linear Velocity: 0.00175654, Angular Velocity: 0
Published Odometry - x: 0.00213365, y: 0, Linear Velocity: 0.00193378, Angular Velocity: 0
Published Odometry - x: 0.00234654, y: 0, Linear Velocity: 0.00212891, Angular Velocity: 0
Published Odometry - x: 0.00258091, y: 0, Linear Velocity: 0.00234373, Angular Velocity: 0
Published Odometry - x: 0.00283894, y: 0, Linear Velocity: 0.00258023, Angular Velocity: 0
Published Odometry - x: 0.003123, y: 0, Linear Velocity: 0.00284059, Angular Velocity: 0
Published Odometry - x: 0.00343572, y: 0, Linear Velocity: 0.00312724, Angular Velocity: 0
Published Odometry - x: 0.00378, y: 0, Linear Velocity: 0.00344281, Angular Velocity: 0
Published Odometry - x: 0.00415903, y: 0, Linear Velocity: 0.00379024, Angular Velocity: 0
Published Odometry - x: 0.0045763, y: 0, Linear Velocity: 0.00417272, Angular Velocity: 0
Published Odometry - x: 0.00503568, y: 0, Linear Velocity: 0.00459381, Angular Velocity: 0
Published Odometry - x: 0.00554142, y: 0, Linear Velocity: 0.00505739, Angular Velocity: 0
Published Odometry - x: 0.00609819, y: 0, Linear Velocity: 0.00556775, Angular Velocity: 0
Published Odometry - x: 0.00671116, y: 0, Linear Velocity: 0.00612962, Angular Velocity: 0
Published Odometry - x: 0.00738598, y: 0, Linear Velocity: 0.0067482, Angular Velocity: 0
Published Odometry - x: 0.00812889, y: 0, Linear Velocity: 0.0074292, Angular Velocity: 0
Published Odometry - x: 0.00894679, y: 0, Linear Velocity: 0.00817892, Angular Velocity: 0
Published Odometry - x: 0.00984722, y: 0, Linear Velocity: 0.0090043, Angular Velocity: 0
Published Odometry - x: 0.0108385, y: 0, Linear Velocity: 0.00991298, Angular Velocity: 0
Published Odometry - x: 0.0119299, y: 0, Linear Velocity: 0.0109134, Angular Velocity: 0
Published Odometry - x: 0.0131313, y: 0, Linear Velocity: 0.0120147, Angular Velocity: 0
Published Odometry - x: 0.014454, y: 0, Linear Velocity: 0.0132272, Angular Velocity: 0
Published Odometry - x: 0.0159102, y: 0, Linear Velocity: 0.014562, Angular Velocity: 0
Published Odometry - x: 0.0175134, y: 0, Linear Velocity: 0.0160316, Angular Velocity: 0
Published Odometry - x: 0.0192783, y: 0, Linear Velocity: 0.0176494, Angular Velocity: 0
Published Odometry - x: 0.0212214, y: 0, Linear Velocity: 0.0194305, Angular Velocity: 0
Published Odometry - x: 0.0233605, y: 0, Linear Velocity: 0.0213914, Angular Velocity: 0
Published Odometry - x: 0.0257155, y: 0, Linear Velocity: 0.0235501, Angular Velocity: 0
Published Odometry - x: 0.0283082, y: 0, Linear Velocity: 0.0259267, Angular Velocity: 0
Published Odometry - x: 0.0311625, y: 0, Linear Velocity: 0.0285432, Angular Velocity: 0
Published Odometry - x: 0.0343049, y: 0, Linear Velocity: 0.0314236, Angular Velocity: 0
Published Odometry - x: 0.0377644, y: 0, Linear Velocity: 0.0345948, Angular Velocity: 0
Published Odometry - x: 0.041573, y: 0, Linear Velocity: 0.038086, Angular Velocity: 0
Published Odometry - x: 0.0457659, y: 0, Linear Velocity: 0.0419295, Angular Velocity: 0
Published Odometry - x: 0.050382, y: 0, Linear Velocity: 0.0461609, Angular Velocity: 0
Published Odometry - x: 0.0554639, y: 0, Linear Velocity: 0.0508193, Angular Velocity: 0
Published Odometry - x: 0.0610587, y: 0, Linear Velocity: 0.0559478, Angular Velocity: 0
Published Odometry - x: 0.0672181, y: 0, Linear Velocity: 0.0615939, Angular Velocity: 0
Published Odometry - x: 0.0739991, y: 0, Linear Velocity: 0.0678097, Angular Velocity: 0
Published Odometry - x: 0.0814644, y: 0, Linear Velocity: 0.0746529, Angular Velocity: 0
Published Odometry - x: 0.089683, y: 0, Linear Velocity: 0.0821866, Angular Velocity: 0
Published Odometry - x: 0.0987311, y: 0, Linear Velocity: 0.0904806, Angular Velocity: 0
Published Odometry - x: 0.108692, y: 0, Linear Velocity: 0.0996116, Angular Velocity: 0
Published Odometry - x: 0.119659, y: 0, Linear Velocity: 0.109664, Angular Velocity: 0
Published Odometry - x: 0.131732, y: 0, Linear Velocity: 0.120731, Angular Velocity: 0
Published Odometry - x: 0.145023, y: 0, Linear Velocity: 0.132915, Angular Velocity: 0
Published Odometry - x: 0.159656, y: 0, Linear Velocity: 0.146328, Angular Velocity: 0
Published Odometry - x: 0.175766, y: 0, Linear Velocity: 0.161095, Angular Velocity: 0
Published Odometry - x: 0.193501, y: 0, Linear Velocity: 0.177352, Angular Velocity: 0
Published Odometry - x: 0.213026, y: 0, Linear Velocity: 0.19525, Angular Velocity: 0
Published Odometry - x: 0.234521, y: 0, Linear Velocity: 0.214954, Angular Velocity: 0
Published Odometry - x: 0.258186, y: 0, Linear Velocity: 0.236646, Angular Velocity: 0
Published Odometry - x: 0.284239, y: 0, Linear Velocity: 0.260528, Angular Velocity: 0
Published Odometry - x: 0.31292, y: 0, Linear Velocity: 0.286819, Angular Velocity: 0
