Published Odometry - x: 0, y: 0, yaw: 0, Linear Velocity: 0, Angular Velocity: 0
Published Odometry - x: 0, y: 0, yaw: 0, Linear Velocity: 0, Angular Velocity: 0
Published Odometry - x: 0, y: 0, yaw: 0, Linear Velocity: 0, Angular Velocity: 0
Published Odometry - x: 0, y: 0, yaw: 0, Linear Velocity: 0, Angular Velocity: 0
Published Odometry - x: 0, y: 0, yaw: 0, Linear Velocity: 0, Angular Velocity: 0
Published Odometry - x: 0, y: 0, yaw: 0, Linear Velocity: 0, Angular Velocity: 0
Published Odometry - x: 0, y: 0, yaw: 0, Linear Velocity: 0, Angular Velocity: 0
Published Odometry - x: 0, y: 0, yaw: 0, Linear Velocity: 0, Angular Velocity: 0
Published Odometry - x: 0, y: 0, yaw: 0, Linear Velocity: 0, Angular Velocity: 0
Published Odometry - x: 0, y: 0, yaw: 0, Linear Velocity: 0, Angular Velocity: 0
Published Odometry - x: 0, y: 0, yaw: 0, Linear Velocity: 0, Angular Velocity: 0
Published Odometry - x: 0, y: 0, yaw: 0, Linear Velocity: 0, Angular Velocity: 0
Published Odometry - x: 0, y: 0, yaw: 0, Linear Velocity: 0, Angular Velocity: 0
Published Odometry - x: 0, y: 0, yaw: 0, Linear Velocity: 0, Angular Velocity: 0
Published Odometry - x: 0, y: 0, yaw: 0, Linear Velocity: 0, Angular Velocity: 0
Published Odometry - x: 0, y: 0, yaw: 0, Linear Velocity: 0, Angular Velocity: 0
Published Odometry - x: 0, y: 0, yaw: 0, Linear Velocity: 0, Angular Velocity: 0
Published Odometry - x: 0, y: 0, yaw: 0, Linear Velocity: 0, Angular Velocity: 0
Published Odometry - x: 0, y: 0, yaw: 0, Linear Velocity: 0, Angular Velocity: 0
Published Odometry - x: 0, y: 0, yaw: 0, Linear Velocity: 0, Angular Velocity: 0
Published Odometry - x: 0, y: 0, yaw: 0, Linear Velocity: 0, Angular Velocity: 0
Published Odometry - x: 0, y: 0, yaw: 0, Linear Velocity: 0, Angular Velocity: 0
Published Odometry - x: 0, y: 0, yaw: 0, Linear Velocity: 0, Angular Velocity: 0
Published Odometry - x: 0, y: 0, yaw: 0, Linear Velocity: 0, Angular Velocity: 0
Published Odometry - x: 0, y: 0, yaw: 0, Linear Velocity: 0, Angular Velocity: 0
Published Odometry - x: 0, y: 0, yaw: 0, Linear Velocity: 0, Angular Velocity: 0
Published Odometry - x: 0, y: 0, yaw: 0, Linear Velocity: 0, Angular Velocity: 0
Published Odometry - x: 0, y: 0, yaw: 0, Linear Velocity: 0, Angular Velocity: 0
Published Odometry - x: 0, y: 0, yaw: 0, Linear Velocity: 0, Angular Velocity: 0
Published Odometry - x: 0, y: 0, yaw: 0, Linear Velocity: 0, Angular Velocity: 0
Published Odometry - x: 0, y: 0, yaw: 0, Linear Velocity: 0, Angular Velocity: 0
Published Odometry - x: 0, y: 0, yaw: 0, Linear Velocity: 0, Angular Velocity: 0
Published Odometry - x: 0, y: 0, yaw: 0, Linear Velocity: 0, Angular Velocity: 0
Published Odometry - x: 7.85166e-06, y: 0, yaw: 0, Linear Velocity: 7.85166e-05, Angular Velocity: 0
Published Odometry - x: 2.51761e-05, y: 0, yaw: -0.00249404, Linear Velocity: 0.000173244, Angular Velocity: -0.0249404
Published Odometry - x: 0.000100611, y: -1.88139e-07, yaw: -0.0124281, Linear Velocity: 0.000754356, Angular Velocity: -0.0993407
Published Odometry - x: 0.000235951, y: -1.87024e-06, yaw: -0.031486, Linear Velocity: 0.0013535, Angular Velocity: -0.190579
Published Odometry - x: 0.000490849, y: -9.89861e-06, yaw: -0.0594163, Linear Velocity: 0.00255024, Angular Velocity: -0.279302
Published Odometry - x: 0.000864796, y: -3.21434e-05, yaw: -0.0868369, Linear Velocity: 0.00374609, Angular Velocity: -0.274207
Published Odometry - x: 0.0041347, y: -0.000316808, yaw: -0.136837, Linear Velocity: 0.0328227, Angular Velocity: -0.5
Published Odometry - x: 0.00398192, y: -0.000295769, yaw: -0.152135, Linear Velocity: -0.00154228, Angular Velocity: -0.152981
Published Odometry - x: 0.00826293, y: -0.000952134, yaw: -0.198994, Linear Velocity: 0.0433104, Angular Velocity: -0.468587
Published Odometry - x: 0.0144148, y: -0.00219274, yaw: -0.211168, Linear Velocity: 0.0627574, Angular Velocity: -0.121738
Published Odometry - x: 0.0180809, y: -0.00297862, yaw: -0.248096, Linear Velocity: 0.0374941, Angular Velocity: -0.369281
Published Odometry - x: 0.0247337, y: -0.00466387, yaw: -0.23807, Linear Velocity: 0.0686289, Angular Velocity: 0.100256
Published Odometry - x: 0.0398207, y: -0.00832505, yaw: -0.279267, Linear Velocity: 0.155249, Angular Velocity: -0.411971
Published Odometry - x: 0.0437676, y: -0.00945688, yaw: -0.244949, Linear Velocity: 0.04106, Angular Velocity: 0.343186
Published Odometry - x: 0.0610437, y: -0.0137753, yaw: -0.294949, Linear Velocity: 0.178076, Angular Velocity: -0.5
Published Odometry - x: 0.078581, y: -0.0191034, yaw: -0.244949, Linear Velocity: 0.183288, Angular Velocity: 0.5
Published Odometry - x: 0.0943826, y: -0.0230533, yaw: -0.294949, Linear Velocity: 0.162878, Angular Velocity: -0.5
Published Odometry - x: 0.111273, y: -0.0281848, yaw: -0.244949, Linear Velocity: 0.176529, Angular Velocity: 0.5
Published Odometry - x: 0.148321, y: -0.0374455, yaw: -0.294949, Linear Velocity: 0.381873, Angular Velocity: -0.5
Published Odometry - x: 0.158181, y: -0.0404412, yaw: -0.244949, Linear Velocity: 0.103056, Angular Velocity: 0.5
Published Odometry - x: 0.19989, y: -0.0508672, yaw: -0.294949, Linear Velocity: 0.429926, Angular Velocity: -0.5
Published Odometry - x: 0.227255, y: -0.0591809, yaw: -0.244949, Linear Velocity: 0.286001, Angular Velocity: 0.5
Published Odometry - x: 0.269142, y: -0.0696513, yaw: -0.294949, Linear Velocity: 0.431757, Angular Velocity: -0.5
Published Odometry - x: 0.290215, y: -0.0760536, yaw: -0.244949, Linear Velocity: 0.220242, Angular Velocity: 0.5
Published Odometry - x: 0.365981, y: -0.0949926, yaw: -0.294949, Linear Velocity: 0.780969, Angular Velocity: -0.5
Published Odometry - x: 0.3696, y: -0.0960919, yaw: -0.244949, Linear Velocity: 0.0378167, Angular Velocity: 0.5
Published Odometry - x: 0.494231, y: -0.127246, yaw: -0.294949, Linear Velocity: 1.28467, Angular Velocity: -0.5
