Published Odometry - x: 0, y: 0, yaw: 0, Linear Velocity: 0, Angular Velocity: 0
Published Odometry - x: 0, y: 0, yaw: 0, Linear Velocity: 0, Angular Velocity: 0
Published Odometry - x: 0, y: 0, yaw: 0, Linear Velocity: 0, Angular Velocity: 0
Published Odometry - x: 0, y: 0, yaw: 0, Linear Velocity: 0, Angular Velocity: 0
Published Odometry - x: 0, y: 0, yaw: 0, Linear Velocity: 0, Angular Velocity: 0
Published Odometry - x: 0, y: 0, yaw: 0, Linear Velocity: 0, Angular Velocity: 0
Published Odometry - x: 0, y: 0, yaw: 0, Linear Velocity: 0, Angular Velocity: 0
Published Odometry - x: 0, y: 0, yaw: 0, Linear Velocity: 0, Angular Velocity: 0
Published Odometry - x: 0, y: 0, yaw: 0, Linear Velocity: 0, Angular Velocity: 0
Published Odometry - x: 1.49554e-05, y: 0, yaw: -0.000639003, Linear Velocity: 0.000149554, Angular Velocity: -0.00639003
Published Odometry - x: 6.0487e-05, y: -2.90948e-08, yaw: -0.00792486, Linear Velocity: 0.000455316, Angular Velocity: -0.0728586
Published Odometry - x: 0.000173578, y: -9.2534e-07, yaw: -0.0223687, Linear Velocity: 0.00113094, Angular Velocity: -0.144439
Published Odometry - x: 0.000374321, y: -5.41646e-06, yaw: -0.049374, Linear Velocity: 0.00200793, Angular Velocity: -0.270052
Published Odometry - x: 0.000704696, y: -2.17417e-05, yaw: -0.0750067, Linear Velocity: 0.00330778, Angular Velocity: -0.256327
Published Odometry - x: 0.00118438, y: -5.77891e-05, yaw: -0.106951, Linear Velocity: 0.0048104, Angular Velocity: -0.319444
Published Odometry - x: 0.00449701, y: -0.000413436, yaw: -0.148875, Linear Velocity: 0.0333167, Angular Velocity: -0.419238
Published Odometry - x: 0.00448697, y: -0.000411929, yaw: -0.16803, Linear Velocity: -0.000101568, Angular Velocity: -0.191555
Published Odometry - x: 0.00880302, y: -0.00114406, yaw: -0.201276, Linear Velocity: 0.0437771, Angular Velocity: -0.332454
Published Odometry - x: 0.0151229, y: -0.00243355, yaw: -0.219889, Linear Velocity: 0.0645004, Angular Velocity: -0.186131
Published Odometry - x: 0.0188077, y: -0.00325711, yaw: -0.239603, Linear Velocity: 0.0377572, Angular Velocity: -0.197137
Published Odometry - x: 0.0256878, y: -0.0049379, yaw: -0.243114, Linear Velocity: 0.0708246, Angular Velocity: -0.0351151
Published Odometry - x: 0.0407453, y: -0.00867247, yaw: -0.260956, Linear Velocity: 0.155138, Angular Velocity: -0.178422
Published Odometry - x: 0.0449861, y: -0.00980494, yaw: -0.251312, Linear Velocity: 0.0438933, Angular Velocity: 0.0964404
Published Odometry - x: 0.0621641, y: -0.0142152, yaw: -0.269637, Linear Velocity: 0.177351, Angular Velocity: -0.18325
Published Odometry - x: 0.0801919, y: -0.0191975, yaw: -0.246375, Linear Velocity: 0.187036, Angular Velocity: 0.232625
Published Odometry - x: 0.0958202, y: -0.0231278, yaw: -0.273656, Linear Velocity: 0.161149, Angular Velocity: -0.272813
Published Odometry - x: 0.113307, y: -0.0280362, yaw: -0.23832, Linear Velocity: 0.181623, Angular Velocity: 0.353363
Published Odometry - x: 0.150083, y: -0.0369705, yaw: -0.276564, Linear Velocity: 0.378458, Angular Velocity: -0.382439
Published Odometry - x: 0.160692, y: -0.0399818, yaw: -0.226564, Linear Velocity: 0.110282, Angular Velocity: 0.5
Published Odometry - x: 0.202, y: -0.0495042, yaw: -0.276564, Linear Velocity: 0.423915, Angular Velocity: -0.5
Published Odometry - x: 0.230517, y: -0.0575983, yaw: -0.226564, Linear Velocity: 0.296432, Angular Velocity: 0.5
Published Odometry - x: 0.27161, y: -0.0670712, yaw: -0.276564, Linear Velocity: 0.42171, Angular Velocity: -0.5
Published Odometry - x: 0.29429, y: -0.0735085, yaw: -0.226564, Linear Velocity: 0.235755, Angular Velocity: 0.5
Published Odometry - x: 0.368767, y: -0.0906772, yaw: -0.276564, Linear Velocity: 0.764307, Angular Velocity: -0.5
Published Odometry - x: 0.37465, y: -0.0923469, yaw: -0.226564, Linear Velocity: 0.0611487, Angular Velocity: 0.5
Published Odometry - x: 0.46202, y: -0.112488, yaw: -0.276564, Linear Velocity: 0.896616, Angular Velocity: -0.5
Published Odometry - x: 0.479235, y: -0.117374, yaw: -0.226564, Linear Velocity: 0.178952, Angular Velocity: 0.5
Published Odometry - x: 0.578324, y: -0.140216, yaw: -0.276564, Linear Velocity: 1.01687, Angular Velocity: -0.5
Published Odometry - x: 0.570823, y: -0.138087, yaw: -0.226564, Linear Velocity: -0.0779706, Angular Velocity: 0.5
Published Odometry - x: 0.729361, y: -0.174633, yaw: -0.276564, Linear Velocity: 1.62696, Angular Velocity: -0.5
Published Odometry - x: 0.675167, y: -0.159251, yaw: -0.226564, Linear Velocity: -0.563349, Angular Velocity: 0.5
Published Odometry - x: 0.870055, y: -0.204177, yaw: -0.276564, Linear Velocity: 2, Angular Velocity: -0.5
Published Odometry - x: 0.798619, y: -0.183901, yaw: -0.226564, Linear Velocity: -0.74258, Angular Velocity: 0.5
Published Odometry - x: 0.993508, y: -0.228827, yaw: -0.276564, Linear Velocity: 2, Angular Velocity: -0.5
Published Odometry - x: 0.906428, y: -0.20411, yaw: -0.226564, Linear Velocity: -0.905202, Angular Velocity: 0.5
Published Odometry - x: 1.10132, y: -0.249036, yaw: -0.275214, Linear Velocity: 2, Angular Velocity: -0.486507
Published Odometry - x: 1.04046, y: -0.231851, yaw: -0.225214, Linear Velocity: -0.63238, Angular Velocity: 0.5
Published Odometry - x: 1.23541, y: -0.276514, yaw: -0.274404, Linear Velocity: 2, Angular Velocity: -0.491891
Published Odometry - x: 1.20654, y: -0.268388, yaw: -0.224404, Linear Velocity: -0.299875, Angular Velocity: 0.5
Published Odometry - x: 1.40153, y: -0.312893, yaw: -0.271459, Linear Velocity: 2, Angular Velocity: -0.470558
Published Odometry - x: 1.35748, y: -0.300635, yaw: -0.221459, Linear Velocity: -0.457173, Angular Velocity: 0.5
Published Odometry - x: 1.5526, y: -0.344566, yaw: -0.266235, Linear Velocity: 2, Angular Velocity: -0.447757
Published Odometry - x: 1.53126, y: -0.338746, yaw: -0.216235, Linear Velocity: -0.221173, Angular Velocity: 0.5
Published Odometry - x: 1.7266, y: -0.381657, yaw: -0.261946, Linear Velocity: 2, Angular Velocity: -0.457107
