Published Odometry - x: 0, y: 0, yaw: 0, Linear Velocity: 0, Angular Velocity: 0
Published Odometry - x: 0, y: 0, yaw: 0, Linear Velocity: 0, Angular Velocity: 0
Published Odometry - x: 0, y: 0, yaw: 0, Linear Velocity: 0, Angular Velocity: 0
Published Odometry - x: 0, y: 0, yaw: 0, Linear Velocity: 0, Angular Velocity: 0
Published Odometry - x: 0, y: 0, yaw: 0, Linear Velocity: 0, Angular Velocity: 0
Published Odometry - x: 0, y: 0, yaw: 0, Linear Velocity: 0, Angular Velocity: 0
Published Odometry - x: 0, y: 0, yaw: 0, Linear Velocity: 0, Angular Velocity: 0
Published Odometry - x: 0, y: 0, yaw: 0, Linear Velocity: 0, Angular Velocity: 0
Published Odometry - x: 0, y: 0, yaw: 0, Linear Velocity: 0, Angular Velocity: 0
Published Odometry - x: 4.47644e-06, y: 0, yaw: 0, Linear Velocity: 4.47644e-05, Angular Velocity: 0
Published Odometry - x: 2.71909e-05, y: 0, yaw: -0.00318391, Linear Velocity: 0.000227145, Angular Velocity: -0.0318391
Published Odometry - x: 0.000103319, y: -2.42386e-07, yaw: -0.0137517, Linear Velocity: 0.000761285, Angular Velocity: -0.105678
Published Odometry - x: 0.000252486, y: -2.29381e-06, yaw: -0.0342761, Linear Velocity: 0.00149181, Angular Velocity: -0.205244
Published Odometry - x: 0.000516275, y: -1.1339e-05, yaw: -0.0618745, Linear Velocity: 0.00263944, Angular Velocity: -0.275984
Published Odometry - x: 0.000912537, y: -3.58889e-05, yaw: -0.0902317, Linear Velocity: 0.00397023, Angular Velocity: -0.283572
Published Odometry - x: 0.00148807, y: -8.79612e-05, yaw: -0.117778, Linear Velocity: 0.00577879, Angular Velocity: -0.275464
Published Odometry - x: 0.00225948, y: -0.000179239, yaw: -0.139424, Linear Velocity: 0.00776796, Angular Velocity: -0.216462
Published Odometry - x: 0.00327996, y: -0.000322448, yaw: -0.157272, Linear Velocity: 0.0103048, Angular Velocity: -0.17848
Published Odometry - x: 0.00455665, y: -0.000524909, yaw: -0.16451, Linear Velocity: 0.0129265, Angular Velocity: -0.0723773
Published Odometry - x: 0.00613866, y: -0.000787538, yaw: -0.168743, Linear Velocity: 0.0160365, Angular Velocity: -0.0423334
Published Odometry - x: 0.00803157, y: -0.00111002, yaw: -0.162781, Linear Velocity: 0.0192019, Angular Velocity: 0.0596269
Published Odometry - x: 0.0103056, y: -0.00148349, yaw: -0.157462, Linear Velocity: 0.0230449, Angular Velocity: 0.0531874
Published Odometry - x: 0.0129576, y: -0.00190458, yaw: -0.141974, Linear Velocity: 0.0268527, Angular Velocity: 0.154875
Published Odometry - x: 0.0160725, y: -0.0023498, yaw: -0.133105, Linear Velocity: 0.0314653, Angular Velocity: 0.088695
Published Odometry - x: 0.0196383, y: -0.00282725, yaw: -0.113091, Linear Velocity: 0.035976, Angular Velocity: 0.200141
Published Odometry - x: 0.0237548, y: -0.00329479, yaw: -0.106362, Linear Velocity: 0.0414303, Angular Velocity: 0.0672873
Published Odometry - x: 0.0283894, y: -0.00378959, yaw: -0.0840665, Linear Velocity: 0.0466087, Angular Velocity: 0.222956
Published Odometry - x: 0.0336621, y: -0.0042339, yaw: -0.0836522, Linear Velocity: 0.0529139, Angular Velocity: 0.00414339
Published Odometry - x: 0.0395221, y: -0.00472525, yaw: -0.0590829, Linear Velocity: 0.0588056, Angular Velocity: 0.245693
Published Odometry - x: 0.0461172, y: -0.00511536, yaw: -0.0676571, Linear Velocity: 0.0660666, Angular Velocity: -0.0857417
Published Odometry - x: 0.0533735, y: -0.00560705, yaw: -0.0379492, Linear Velocity: 0.0727288, Angular Velocity: 0.297079
Published Odometry - x: 0.0614828, y: -0.00591494, yaw: -0.0585879, Linear Velocity: 0.0811522, Angular Velocity: -0.206388
Published Odometry - x: 0.0703229, y: -0.00643345, yaw: -0.0185765, Linear Velocity: 0.0885524, Angular Velocity: 0.400115
Published Odometry - x: 0.0801379, y: -0.0066158, yaw: -0.0556516, Linear Velocity: 0.0981668, Angular Velocity: -0.370752
Published Odometry - x: 0.0907507, y: -0.00720703, yaw: -0.00565162, Linear Velocity: 0.106293, Angular Velocity: 0.5
Published Odometry - x: 0.10247, y: -0.00727327, yaw: -0.0556516, Linear Velocity: 0.117191, Angular Velocity: -0.5
Published Odometry - x: 0.115057, y: -0.00797452, yaw: -0.00565162, Linear Velocity: 0.126073, Angular Velocity: 0.5
Published Odometry - x: 0.128901, y: -0.00805276, yaw: -0.0556516, Linear Velocity: 0.138442, Angular Velocity: -0.5
Published Odometry - x: 0.143689, y: -0.00887658, yaw: -0.00565162, Linear Velocity: 0.148109, Angular Velocity: 0.5
Published Odometry - x: 0.159905, y: -0.00896823, yaw: -0.0556516, Linear Velocity: 0.162159, Angular Velocity: -0.5
Published Odometry - x: 0.177141, y: -0.00992845, yaw: -0.00565162, Linear Velocity: 0.17263, Angular Velocity: 0.5
Published Odometry - x: 0.195995, y: -0.010035, yaw: -0.0556516, Linear Velocity: 0.18854, Angular Velocity: -0.5
Published Odometry - x: 0.215937, y: -0.011146, yaw: -0.00565162, Linear Velocity: 0.19973, Angular Velocity: 0.5
Published Odometry - x: 0.237712, y: -0.011269, yaw: -0.0556516, Linear Velocity: 0.217758, Angular Velocity: -0.5
Published Odometry - x: 0.260641, y: -0.0125464, yaw: -0.00565162, Linear Velocity: 0.229643, Angular Velocity: 0.5
Published Odometry - x: 0.285653, y: -0.0126877, yaw: -0.0556516, Linear Velocity: 0.250123, Angular Velocity: -0.5
Published Odometry - x: 0.311877, y: -0.0141487, yaw: -0.00565162, Linear Velocity: 0.262649, Angular Velocity: 0.5
Published Odometry - x: 0.340475, y: -0.0143103, yaw: -0.0556516, Linear Velocity: 0.285985, Angular Velocity: -0.5
Published Odometry - x: 0.370333, y: -0.0159737, yaw: -0.00565162, Linear Velocity: 0.299044, Angular Velocity: 0.5
Published Odometry - x: 0.402897, y: -0.0161577, yaw: -0.0556516, Linear Velocity: 0.325642, Angular Velocity: -0.5
Published Odometry - x: 0.436746, y: -0.0180434, yaw: -0.00565162, Linear Velocity: 0.339019, Angular Velocity: 0.5
Published Odometry - x: 0.47369, y: -0.0182522, yaw: -0.0556516, Linear Velocity: 0.369444, Angular Velocity: -0.5
Published Odometry - x: 0.511922, y: -0.0203821, yaw: -0.00565162, Linear Velocity: 0.382912, Angular Velocity: 0.5
