Published Odometry - x: 0, y: 0, yaw: 0, Linear Velocity: 0, Angular Velocity: 0
Published Odometry - x: 0, y: 0, yaw: 0, Linear Velocity: 0, Angular Velocity: 0
Published Odometry - x: 0, y: 0, yaw: 0, Linear Velocity: 0, Angular Velocity: 0
Published Odometry - x: 0, y: 0, yaw: 0, Linear Velocity: 0, Angular Velocity: 0
Published Odometry - x: 0, y: 0, yaw: 0, Linear Velocity: 0, Angular Velocity: 0
Published Odometry - x: 0, y: 0, yaw: 0, Linear Velocity: 0, Angular Velocity: 0
Published Odometry - x: 0, y: 0, yaw: 0, Linear Velocity: 0, Angular Velocity: 0
Published Odometry - x: 0, y: 0, yaw: 0, Linear Velocity: 0, Angular Velocity: 0
Published Odometry - x: 0, y: 0, yaw: 0, Linear Velocity: 0, Angular Velocity: 0
Published Odometry - x: 7.85166e-06, y: 0, yaw: 0, Linear Velocity: 7.85166e-05, Angular Velocity: 0
Published Odometry - x: 1.27592e-05, y: 0, yaw: -0.000607421, Linear Velocity: 4.90758e-05, Angular Velocity: -0.00607421
Published Odometry - x: 6.95347e-05, y: -3.44866e-08, yaw: -0.00782811, Linear Velocity: 0.000567754, Angular Velocity: -0.0722069
Published Odometry - x: 0.000170919, y: -8.2815e-07, yaw: -0.0221902, Linear Velocity: 0.00101387, Angular Velocity: -0.143621
Published Odometry - x: 0.000383422, y: -5.54441e-06, yaw: -0.04916, Linear Velocity: 0.00212556, Angular Velocity: -0.269698
Published Odometry - x: 0.000698443, y: -2.10433e-05, yaw: -0.0748157, Linear Velocity: 0.00315402, Angular Velocity: -0.256557
Published Odometry - x: 0.00393866, y: -0.000263915, yaw: -0.124816, Linear Velocity: 0.032493, Angular Velocity: -0.5
Published Odometry - x: 0.00370537, y: -0.000234645, yaw: -0.143054, Linear Velocity: -0.00235117, Angular Velocity: -0.182383
Published Odometry - x: 0.00795493, y: -0.000846744, yaw: -0.191052, Linear Velocity: 0.0429342, Angular Velocity: -0.479981
Published Odometry - x: 0.0140214, y: -0.00202006, yaw: -0.208181, Linear Velocity: 0.0617887, Angular Velocity: -0.171288
Published Odometry - x: 0.0176619, y: -0.00278909, yaw: -0.245226, Linear Velocity: 0.0372085, Angular Velocity: -0.370448
Published Odometry - x: 0.0242033, y: -0.00442615, yaw: -0.240508, Linear Velocity: 0.0674311, Angular Velocity: 0.0471797
Published Odometry - x: 0.03927, y: -0.00812134, yaw: -0.279756, Linear Velocity: 0.155133, Angular Velocity: -0.392482
Published Odometry - x: 0.0430692, y: -0.00921281, yaw: -0.251359, Linear Velocity: 0.0395286, Angular Velocity: 0.283966
Published Odometry - x: 0.0603341, y: -0.0136463, yaw: -0.297704, Linear Velocity: 0.178251, Angular Velocity: -0.463451
Published Odometry - x: 0.0776641, y: -0.0189635, yaw: -0.247704, Linear Velocity: 0.181274, Angular Velocity: 0.5
Published Odometry - x: 0.0935193, y: -0.0229733, yaw: -0.297704, Linear Velocity: 0.163543, Angular Velocity: -0.5
Published Odometry - x: 0.110139, y: -0.0280726, yaw: -0.247704, Linear Velocity: 0.173844, Angular Velocity: 0.5
Published Odometry - x: 0.147307, y: -0.0374722, yaw: -0.297704, Linear Velocity: 0.383379, Angular Velocity: -0.5
Published Odometry - x: 0.156802, y: -0.0403857, yaw: -0.247704, Linear Velocity: 0.0993249, Angular Velocity: 0.5
Published Odometry - x: 0.198753, y: -0.0509949, yaw: -0.297704, Linear Velocity: 0.432714, Angular Velocity: -0.5
Published Odometry - x: 0.225587, y: -0.0592283, yaw: -0.247704, Linear Velocity: 0.28069, Angular Velocity: 0.5
Published Odometry - x: 0.267908, y: -0.0699312, yaw: -0.297704, Linear Velocity: 0.436534, Angular Velocity: -0.5
Published Odometry - x: 0.288218, y: -0.0761627, yaw: -0.247704, Linear Velocity: 0.212444, Angular Velocity: 0.5
Published Odometry - x: 0.364701, y: -0.0955051, yaw: -0.297704, Linear Velocity: 0.788909, Angular Velocity: -0.5
Published Odometry - x: 0.367206, y: -0.0962738, yaw: -0.247704, Linear Velocity: 0.026205, Angular Velocity: 0.5
Published Odometry - x: 0.457946, y: -0.119222, yaw: -0.297704, Linear Velocity: 0.935958, Angular Velocity: -0.5
Published Odometry - x: 0.470025, y: -0.122928, yaw: -0.247704, Linear Velocity: 0.126355, Angular Velocity: 0.5
Published Odometry - x: 0.574621, y: -0.14938, yaw: -0.297704, Linear Velocity: 1.07889, Angular Velocity: -0.5
Published Odometry - x: 0.559481, y: -0.144734, yaw: -0.247704, Linear Velocity: -0.158375, Angular Velocity: 0.5
Published Odometry - x: 0.72664, y: -0.187009, yaw: -0.297704, Linear Velocity: 1.72422, Angular Velocity: -0.5
Published Odometry - x: 0.661003, y: -0.16687, yaw: -0.247704, Linear Velocity: -0.686568, Angular Velocity: 0.5
Published Odometry - x: 0.854899, y: -0.215906, yaw: -0.297704, Linear Velocity: 2, Angular Velocity: -0.5
Published Odometry - x: 0.783265, y: -0.193927, yaw: -0.247704, Linear Velocity: -0.749294, Angular Velocity: 0.5
Published Odometry - x: 0.977161, y: -0.242963, yaw: -0.297099, Linear Velocity: 2, Angular Velocity: -0.493951
Published Odometry - x: 0.891195, y: -0.216643, yaw: -0.247099, Linear Velocity: -0.899049, Angular Velocity: 0.5
Published Odometry - x: 1.08512, y: -0.265562, yaw: -0.293544, Linear Velocity: 2, Angular Velocity: -0.464441
Published Odometry - x: 1.02526, y: -0.247466, yaw: -0.243544, Linear Velocity: -0.625388, Angular Velocity: 0.5
Published Odometry - x: 1.21935, y: -0.295695, yaw: -0.290512, Linear Velocity: 2, Angular Velocity: -0.469689
Published Odometry - x: 1.1912, y: -0.287276, yaw: -0.240512, Linear Velocity: -0.293904, Angular Velocity: 0.5
Published Odometry - x: 1.38544, y: -0.334916, yaw: -0.285556, Linear Velocity: 2, Angular Velocity: -0.450435
Published Odometry - x: 1.34216, y: -0.322211, yaw: -0.235556, Linear Velocity: -0.45103, Angular Velocity: 0.5
Published Odometry - x: 1.53664, y: -0.368888, yaw: -0.278565, Linear Velocity: 2, Angular Velocity: -0.430088
Published Odometry - x: 1.5158, y: -0.362927, yaw: -0.228565, Linear Velocity: -0.216783, Angular Velocity: 0.5
Published Odometry - x: 1.71059, y: -0.408243, yaw: -0.272699, Linear Velocity: 2, Angular Velocity: -0.441339
